Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
3,1666788376457,26/10/2022 12:46:16,1666788376352,1,26/10/2022 13:46:16,99963,4,task-mqly,,24824174,6005c15acef0ed86cc521eda,7330622,,complete,,63592bc5b180d9d41025ee67,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1365x648,rdk-posneg,consent-form-data,2,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,21261,,,,,0,1,0,,,,,,
1,1666788441964,26/10/2022 12:47:21,1666788443362,1,26/10/2022 13:47:23,99963,4,task-mqly,,24824215,59a534dc4d25e800012fcd66,7330631,,complete,,63592c20ca09089b1e0e2ca8,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x657,urn-posneg,consent-form-data,2,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666788513510,26/10/2022 12:48:33,1666788514965,1,26/10/2022 13:48:34,99963,4,task-mqly,,24824215,59a534dc4d25e800012fcd66,7330631,,complete,,63592c20ca09089b1e0e2ca8,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x657,urn-posneg,consent-form-data,2,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,71441.3999999999,,,,,0,1,0,,,,,,form
3,1666788513586,26/10/2022 12:48:33,1666788514974,1,26/10/2022 13:48:34,99963,4,task-mqly,,24824215,59a534dc4d25e800012fcd66,7330631,,complete,,63592c20ca09089b1e0e2ca8,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x657,urn-posneg,consent-form-data,2,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,Spreadsheet1,,,END TASK,,,,,71611,,,,,0,1,0,,,,,,
1,1666788442149,26/10/2022 12:47:22,1666788442449,1,26/10/2022 13:47:22,99963,4,task-mqly,,24824216,5cea26087afd86001a34a5db,7330640,,complete,,63592c3825160aa12fbaf046,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1920x854,urn-posneg,consent-form-data,2,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666788443820,26/10/2022 12:47:23,1666788444168,1,26/10/2022 13:47:24,99963,4,task-mqly,,24824216,5cea26087afd86001a34a5db,7330640,,complete,,63592c3825160aa12fbaf046,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1920x854,urn-posneg,consent-form-data,2,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,1700.0999999046326,,,,,0,1,0,,,,,,form
3,1666788443896,26/10/2022 12:47:23,1666788444171,1,26/10/2022 13:47:24,99963,4,task-mqly,,24824216,5cea26087afd86001a34a5db,7330640,,complete,,63592c3825160aa12fbaf046,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1920x854,urn-posneg,consent-form-data,2,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,Spreadsheet1,,,END TASK,,,,,1722,,,,,0,1,0,,,,,,
1,1666788446335,26/10/2022 12:47:26,1666788446367,1,26/10/2022 13:47:26,99963,4,task-mqly,,24824219,5d575f44182f9f001900a380,7330638,,complete,,63592c4493b6077f6b5b3508,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x768,urn-posneg,consent-form-data,2,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666788453741,26/10/2022 12:47:33,1666788453756,1,26/10/2022 13:47:33,99963,4,task-mqly,,24824219,5d575f44182f9f001900a380,7330638,,complete,,63592c4493b6077f6b5b3508,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x768,urn-posneg,consent-form-data,2,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,7325.700000047684,,,,,0,1,0,,,,,,form
3,1666788453813,26/10/2022 12:47:33,1666788453761,1,26/10/2022 13:47:33,99963,4,task-mqly,,24824219,5d575f44182f9f001900a380,7330638,,complete,,63592c4493b6077f6b5b3508,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x768,urn-posneg,consent-form-data,2,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,Spreadsheet1,,,END TASK,,,,,7394,,,,,0,1,0,,,,,,
