Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
2,1666788553638,26/10/2022 12:49:13,1666788554247,1,26/10/2022 13:49:14,99963,4,task-mqly,,24824282,5c4782d9cae0ab000188d2b4,7330663,,complete,,63592cb83c34b88d6ac9ab36,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x601,str-finalfeed,consent-form-data,2,Team Stroop,stroop-finalfeedback,,,consented,,,,,str-finalfeed,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,2583.0999999046326,,,,,0,1,0,,,,,,form
3,1666788553692,26/10/2022 12:49:13,1666788554251,1,26/10/2022 13:49:14,99963,4,task-mqly,,24824282,5c4782d9cae0ab000188d2b4,7330663,,complete,,63592cb83c34b88d6ac9ab36,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x601,str-finalfeed,consent-form-data,2,Team Stroop,stroop-finalfeedback,,,consented,,,,,str-finalfeed,,,,,,,,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,2636,,,,,0,1,0,,,,,,
1,1666788552124,26/10/2022 12:49:12,1666788552052,1,26/10/2022 13:49:12,99963,4,task-mqly,,24824283,62aef3e00d1da8e10120d478,7330658,,complete,,63592ca969c7b87485697ee9,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1677x1048,1676x904,urn-vanilla,consent-form-data,2,Team Bandit,,,bandit-vanilla,consented,,,,,,,,,,,,,urn-vanilla,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666788556120,26/10/2022 12:49:16,1666788556097,1,26/10/2022 13:49:16,99963,4,task-mqly,,24824283,62aef3e00d1da8e10120d478,7330658,,complete,,63592ca969c7b87485697ee9,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1677x1048,1676x904,urn-vanilla,consent-form-data,2,Team Bandit,,,bandit-vanilla,consented,,,,,,,,,,,,,urn-vanilla,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,4006.5,,,,,0,1,0,,,,,,form
3,1666788556184,26/10/2022 12:49:16,1666788556100,1,26/10/2022 13:49:16,99963,4,task-mqly,,24824283,62aef3e00d1da8e10120d478,7330658,,complete,,63592ca969c7b87485697ee9,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1677x1048,1676x904,urn-vanilla,consent-form-data,2,Team Bandit,,,bandit-vanilla,consented,,,,,,,,,,,,,urn-vanilla,,,,,,consented,Spreadsheet1,,,END TASK,,,,,4048,,,,,0,1,0,,,,,,
1,1666788554359,26/10/2022 12:49:14,1666788554298,1,26/10/2022 13:49:14,99963,4,task-mqly,,24824284,60f6f26526b89e4fa8540e9e,7330662,,complete,,63592c76ff2347b5a61bfbd6,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1500x1000,1500x889,str-eyes,consent-form-data,2,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666788556739,26/10/2022 12:49:16,1666788556711,1,26/10/2022 13:49:16,99963,4,task-mqly,,24824284,60f6f26526b89e4fa8540e9e,7330662,,complete,,63592c76ff2347b5a61bfbd6,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1500x1000,1500x889,str-eyes,consent-form-data,2,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,2312.7999999523163,,,,,0,1,0,,,,,,form
3,1666788556803,26/10/2022 12:49:16,1666788556716,1,26/10/2022 13:49:16,99963,4,task-mqly,,24824284,60f6f26526b89e4fa8540e9e,7330662,,complete,,63592c76ff2347b5a61bfbd6,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1500x1000,1500x889,str-eyes,consent-form-data,2,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,2418,,,,,0,1,0,,,,,,
1,1666788561810,26/10/2022 12:49:21,1666788561734,1,26/10/2022 13:49:21,99963,4,task-mqly,,24824293,5ef436028e8b151e6ae5645e,7330665,,complete,,63592cc1461ce2ef55f6af9b,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x569,rdk-finalfeed,consent-form-data,2,Team RDK,,rdk-finalfeedback,,consented,,,,,,,,,,,rdk-finalfeed,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666788564773,26/10/2022 12:49:24,1666788564724,1,26/10/2022 13:49:24,99963,4,task-mqly,,24824293,5ef436028e8b151e6ae5645e,7330665,,complete,,63592cc1461ce2ef55f6af9b,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x569,rdk-finalfeed,consent-form-data,2,Team RDK,,rdk-finalfeedback,,consented,,,,,,,,,,,rdk-finalfeed,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,2861.399999976158,,,,,0,1,0,,,,,,form
