Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Randomise questionnaire elements?,Question Key,Response
1,1666778940569,26/10/2022 10:09:00,1666778940451,1,26/10/2022 11:09:00,99963,4,questionnaire-vwo4,,24820518,5fb7d0c98a2ddb3d22902d37,7329320,,complete,,6359057b63c4f225b78d38f0,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x900,str-posneg,debriefing,1,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778945190,26/10/2022 10:09:05,1666778945117,1,26/10/2022 11:09:05,99963,4,questionnaire-vwo4,,24820518,5fb7d0c98a2ddb3d22902d37,7329320,,complete,,6359057b63c4f225b78d38f0,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x900,str-posneg,debriefing,1,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,No,engagement-value,1
3,1666778945261,26/10/2022 10:09:05,1666778945119,1,26/10/2022 11:09:05,99963,4,questionnaire-vwo4,,24820518,5fb7d0c98a2ddb3d22902d37,7329320,,complete,,6359057b63c4f225b78d38f0,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x900,str-posneg,debriefing,1,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,No,response_comment,
4,1666778945261,26/10/2022 10:09:05,1666778945119,1,26/10/2022 11:09:05,99963,4,questionnaire-vwo4,,24820518,5fb7d0c98a2ddb3d22902d37,7329320,,complete,,6359057b63c4f225b78d38f0,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x900,str-posneg,debriefing,1,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,No,END QUESTIONNAIRE,4668
1,1666778961516,26/10/2022 10:09:21,1666778960951,1,26/10/2022 11:09:20,99963,4,questionnaire-vwo4,,24820526,59e71906ac0af70001b36a06,7329336,,complete,,6359060478c06497ac141096,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1360x768,1360x657,rdk-posneg,debriefing,1,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666778971533,26/10/2022 10:09:31,1666778970994,1,26/10/2022 11:09:30,99963,4,questionnaire-vwo4,,24820526,59e71906ac0af70001b36a06,7329336,,complete,,6359060478c06497ac141096,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1360x768,1343x657,rdk-posneg,debriefing,1,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,engagement-value,1
3,1666778971582,26/10/2022 10:09:31,1666778970995,1,26/10/2022 11:09:30,99963,4,questionnaire-vwo4,,24820526,59e71906ac0af70001b36a06,7329336,,complete,,6359060478c06497ac141096,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1360x768,1343x657,rdk-posneg,debriefing,1,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,response_comment,
4,1666778971582,26/10/2022 10:09:31,1666778970996,1,26/10/2022 11:09:30,99963,4,questionnaire-vwo4,,24820526,59e71906ac0af70001b36a06,7329336,,complete,,6359060478c06497ac141096,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1360x768,1343x657,rdk-posneg,debriefing,1,Team RDK,,rdk-posnegfeedback,,consented,,,,,,,,,,rdk-posneg,,,,,,,,,consented,No,END QUESTIONNAIRE,10045
1,1666779106040,26/10/2022 10:11:46,1666779107132,1,26/10/2022 11:11:47,99963,4,questionnaire-vwo4,,24820625,5a56bfa0acc75b00017a15f2,7329330,,complete,,635905eed97269ed69cb06d2,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1920x969,str-finalfeed,debriefing,1,Team Stroop,stroop-finalfeedback,,,consented,,,,,str-finalfeed,,,,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666779157763,26/10/2022 10:12:37,1666779158871,1,26/10/2022 11:12:38,99963,4,questionnaire-vwo4,,24820625,5a56bfa0acc75b00017a15f2,7329330,,complete,,635905eed97269ed69cb06d2,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1920x969,str-finalfeed,debriefing,1,Team Stroop,stroop-finalfeedback,,,consented,,,,,str-finalfeed,,,,,,,,,,,,,,consented,No,engagement-value,1
