Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
2,1670773069093,11/12/2022 15:37:49,1670773062881,0,11/12/2022 15:37:42,96489,6,task-vd7p,,25860442,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x754,str-eyes,consent-form-data-task,2,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,2378.600000023842,,,,,0,1,0,,,,,,form
3,1670773069162,11/12/2022 15:37:49,1670773062886,0,11/12/2022 15:37:42,96489,6,task-vd7p,,25860442,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x754,str-eyes,consent-form-data-task,2,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,2534,,,,,0,1,0,,,,,,
1,1670773144577,11/12/2022 15:39:04,1670773144669,0,11/12/2022 15:39:04,96489,6,task-vd7p,,25860464,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,str-progress,consent-form-data-task,2,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1670773147319,11/12/2022 15:39:07,1670773147459,0,11/12/2022 15:39:07,96489,6,task-vd7p,,25860464,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,str-progress,consent-form-data-task,2,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,2674.5999999996275,,,,,0,1,0,,,,,,form
3,1670773147383,11/12/2022 15:39:07,1670773147464,0,11/12/2022 15:39:07,96489,6,task-vd7p,,25860464,60fc06c83eede1b960123e4a,7647701,,complete,,6395f96f25a6ee22cfd43a47,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,str-progress,consent-form-data-task,2,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,2795,,,,,0,1,0,,,,,,
1,1670773170236,11/12/2022 15:39:30,1670773170147,0,11/12/2022 15:39:30,96489,6,task-vd7p,,25860474,600ffd5dc1152022c18f4093,7647703,,complete,,6395f99ea5ad0fc36e592c73,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1266x589,rdk-finalfeed,consent-form-data-task,2,Team RDK,,rdk-finalfeedback,,consented,,,,,,,,,,,,,rdk-finalfeed,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1670773171275,11/12/2022 15:39:31,1670773171235,0,11/12/2022 15:39:31,96489,6,task-vd7p,,25860474,600ffd5dc1152022c18f4093,7647703,,complete,,6395f99ea5ad0fc36e592c73,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1266x589,rdk-finalfeed,consent-form-data-task,2,Team RDK,,rdk-finalfeedback,,consented,,,,,,,,,,,,,rdk-finalfeed,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,1036.7999999998137,,,,,0,1,0,,,,,,form
3,1670773171357,11/12/2022 15:39:31,1670773171238,0,11/12/2022 15:39:31,96489,6,task-vd7p,,25860474,600ffd5dc1152022c18f4093,7647703,,complete,,6395f99ea5ad0fc36e592c73,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1266x589,rdk-finalfeed,consent-form-data-task,2,Team RDK,,rdk-finalfeedback,,consented,,,,,,,,,,,,,rdk-finalfeed,,,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,1091,,,,,0,1,0,,,,,,
1,1670773238918,11/12/2022 15:40:38,1670773236513,0,11/12/2022 15:40:36,96489,6,task-vd7p,,25860501,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1297,rdk-vanilla,consent-form-data-task,2,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1670773241353,11/12/2022 15:40:41,1670773238991,0,11/12/2022 15:40:38,96489,6,task-vd7p,,25860501,6054986d528d69b89f04aacd,7647710,,complete,,6395f9e0d31b204937141c6b,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,2560x1440,2560x1297,rdk-vanilla,consent-form-data-task,2,Team RDK,,rdk-vanilla,,consented,,,,,,,,rdk-vanilla,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,2461.5,,,,,0,1,0,,,,,,form
