Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ShowProgressBar,ShowProgressBar1
125,1670773504118,11/12/2022 15:45:04,1670773503987,0,11/12/2022 15:45:03,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,31,43,3,fixation,fixation,timelimit_screen,499.59100000000035,,,,,0,1,0,,,1,1,2,trials,coherence-80-ll.mp4,left,1,
126,1670773505332,11/12/2022 15:45:05,1670773505197,0,11/12/2022 15:45:05,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,24,44,1,trial,responseA,response_keyboard,1172.2000002861023,,,up,1,1,0,0,,,,1,2,trials,coherence-10-uu.mp4,up,1,
127,1670773505828,11/12/2022 15:45:05,1670773505682,0,11/12/2022 15:45:05,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,24,44,3,fixation,fixation,timelimit_screen,499.6680000000051,,,,,0,1,0,,,1,1,2,trials,coherence-10-uu.mp4,up,1,
128,1670773506785,11/12/2022 15:45:06,1670773506649,0,11/12/2022 15:45:06,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,27,45,1,trial,responseA,response_keyboard,938.6999998092651,,,up,1,1,0,0,,,,1,2,trials,coherence-80-uu.mp4,up,1,
129,1670773507274,11/12/2022 15:45:07,1670773507146,0,11/12/2022 15:45:07,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,27,45,3,fixation,fixation,timelimit_screen,499.6420000000071,,,,,0,1,0,,,1,1,2,trials,coherence-80-uu.mp4,up,1,
130,1670773508328,11/12/2022 15:45:08,1670773508198,0,11/12/2022 15:45:08,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,20,46,1,trial,responseA,response_keyboard,1020.0999999046326,,,up,1,0,1,0,,,,1,2,trials,coherence-10-dd.mp4,down,1,
131,1670773508841,11/12/2022 15:45:08,1670773508692,0,11/12/2022 15:45:08,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,20,46,3,fixation,fixation,timelimit_screen,499.6790000000037,,,,,0,1,0,,,1,1,2,trials,coherence-10-dd.mp4,down,1,
132,1670773509955,11/12/2022 15:45:09,1670773509823,0,11/12/2022 15:45:09,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,26,47,1,trial,responseA,response_keyboard,1091.5,,,up,1,1,0,0,,,,1,2,trials,coherence-40-uu.mp4,up,1,
133,1670773510428,11/12/2022 15:45:10,1670773510305,0,11/12/2022 15:45:10,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,26,47,3,fixation,fixation,timelimit_screen,499.6439999999857,,,,,0,1,0,,,1,1,2,trials,coherence-40-uu.mp4,up,1,
134,1670773511509,11/12/2022 15:45:11,1670773511379,0,11/12/2022 15:45:11,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,22,48,1,trial,responseB,response_keyboard,1046.3000001907349,,,left,1,0,1,0,,,,1,2,trials,coherence-40-dd.mp4,down,1,
135,1670773511998,11/12/2022 15:45:11,1670773511869,0,11/12/2022 15:45:11,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,22,48,3,fixation,fixation,timelimit_screen,499.6620000000112,,,,,0,1,0,,,1,1,2,trials,coherence-40-dd.mp4,down,1,
136,1670773513141,11/12/2022 15:45:13,1670773513017,0,11/12/2022 15:45:13,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,148,49,1,trial,responseB,response_keyboard,1109.5999999046326,,,right,1,0,1,0,,,,9,10,trials,coherence-10-dd.mp4,down,1,
137,1670773513624,11/12/2022 15:45:13,1670773513498,0,11/12/2022 15:45:13,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,148,49,3,fixation,fixation,timelimit_screen,499.6479999999865,,,,,0,1,0,,,1,9,10,trials,coherence-10-dd.mp4,down,1,
138,1670773514504,11/12/2022 15:45:14,1670773514381,0,11/12/2022 15:45:14,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,151,50,1,trial,responseA,response_keyboard,844.8999996185303,,,down,1,1,0,0,,,,9,10,trials,coherence-80-dd.mp4,down,1,
139,1670773514987,11/12/2022 15:45:14,1670773514861,0,11/12/2022 15:45:14,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,151,50,3,fixation,fixation,timelimit_screen,499.6350000000093,,,,,0,1,0,,,1,9,10,trials,coherence-80-dd.mp4,down,1,
140,1670773516047,11/12/2022 15:45:16,1670773515924,0,11/12/2022 15:45:15,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,152,51,1,trial,responseB,response_keyboard,1028.5999999046326,,,right,1,0,1,0,,,,9,10,trials,coherence-10-uu.mp4,up,1,
141,1670773516537,11/12/2022 15:45:16,1670773516408,0,11/12/2022 15:45:16,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,152,51,3,fixation,fixation,timelimit_screen,499.61999999999534,,,,,0,1,0,,,1,9,10,trials,coherence-10-uu.mp4,up,1,
142,1670773517733,11/12/2022 15:45:17,1670773517605,0,11/12/2022 15:45:17,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,150,52,1,trial,responseB,response_keyboard,1156.4000000953674,,,left,1,0,1,0,,,,9,10,trials,coherence-40-dd.mp4,down,1,
143,1670773518210,11/12/2022 15:45:18,1670773518088,0,11/12/2022 15:45:18,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,150,52,3,fixation,fixation,timelimit_screen,499.622000000003,,,,,0,1,0,,,1,9,10,trials,coherence-40-dd.mp4,down,1,
144,1670773519076,11/12/2022 15:45:19,1670773518951,0,11/12/2022 15:45:18,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,162,53,1,trial,responseB,response_keyboard,825.6000003814697,,,right,1,1,0,0,,,,9,10,trials,coherence-40-rr.mp4,right,1,
145,1670773519557,11/12/2022 15:45:19,1670773519435,0,11/12/2022 15:45:19,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,162,53,3,fixation,fixation,timelimit_screen,499.6480000000156,,,,,0,1,0,,,1,9,10,trials,coherence-40-rr.mp4,right,1,
146,1670773520334,11/12/2022 15:45:20,1670773520212,0,11/12/2022 15:45:20,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,163,54,1,trial,responseB,response_keyboard,734.5999999046326,,,right,1,1,0,0,,,,9,10,trials,coherence-80-rr.mp4,right,1,
147,1670773520826,11/12/2022 15:45:20,1670773520698,0,11/12/2022 15:45:20,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,163,54,3,fixation,fixation,timelimit_screen,499.5909999999858,,,,,0,1,0,,,1,9,10,trials,coherence-80-rr.mp4,right,1,
148,1670773522073,11/12/2022 15:45:22,1670773521943,0,11/12/2022 15:45:21,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,161,55,1,trial,responseB,response_keyboard,1198.7999997138977,,,right,1,1,0,0,,,,9,10,trials,coherence-20-rr.mp4,right,1,
149,1670773522552,11/12/2022 15:45:22,1670773522429,0,11/12/2022 15:45:22,96489,6,task-sks3,,25860580,5ef8516a9d934259da0b99db,7647724,,complete,,6395fa699bfcf028b68cdd17,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,161,55,3,fixation,fixation,timelimit_screen,499.6119999999937,,,,,0,1,0,,,1,9,10,trials,coherence-20-rr.mp4,right,1,
