Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ShowProgressBar,ShowProgressBar1
1,1670772989624,11/12/2022 15:36:29,1670772992862,0,11/12/2022 15:36:32,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x820,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1670772991169,11/12/2022 15:36:31,1670772994399,0,11/12/2022 15:36:34,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x820,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1460.704999997688,,,,,0,1,0,,,,,,fullscreen,,,,
3,1670772991223,11/12/2022 15:36:31,1670772994411,0,11/12/2022 15:36:34,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x820,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,fixation,timelimit_screen,16.666999999999916,,,,,0,1,0,,,1,,,fullscreen,,,,
4,1670773004607,11/12/2022 15:36:44,1670773007872,0,11/12/2022 15:36:47,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_keyboard,13424.509999997099,,,,,0,1,0,,,,,,instructions,,,,
5,1670773007430,11/12/2022 15:36:47,1670773010694,0,11/12/2022 15:36:50,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,15,1,1,Screen 2,responseB,response_keyboard,2765.895000004093,,,right,1,1,0,0,,,,,1,practise trials,coherence-70-rr.mp4,right,,1
6,1670773008120,11/12/2022 15:36:48,1670773011373,0,11/12/2022 15:36:51,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,15,1,3,fixation,fixation,timelimit_screen,500.0099999999984,,,,,0,1,0,,,1,,1,practise trials,coherence-70-rr.mp4,right,,1
7,1670773009749,11/12/2022 15:36:49,1670773013016,0,11/12/2022 15:36:53,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,17,2,1,Screen 2,responseB,response_keyboard,1609.4100000045728,,,right,1,1,0,0,,,,,1,practise trials,coherence-30-rr.mp4,right,,1
8,1670773010433,11/12/2022 15:36:50,1670773013705,0,11/12/2022 15:36:53,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,17,2,3,fixation,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,,1,practise trials,coherence-30-rr.mp4,right,,1
9,1670773011320,11/12/2022 15:36:51,1670773014584,0,11/12/2022 15:36:54,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,11,3,1,Screen 2,responseB,response_keyboard,843.9200000066194,,,left,1,1,0,0,,,,,1,practise trials,coherence-70-ll.mp4,left,,1
10,1670773012001,11/12/2022 15:36:52,1670773015272,0,11/12/2022 15:36:55,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,11,3,3,fixation,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,,1,practise trials,coherence-70-ll.mp4,left,,1
11,1670773012763,11/12/2022 15:36:52,1670773016039,0,11/12/2022 15:36:56,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,18,4,1,Screen 2,responseB,response_keyboard,731.3749999957508,,,right,1,1,0,0,,,,,1,practise trials,coherence-90-rr.mp4,right,,1
12,1670773013454,11/12/2022 15:36:53,1670773016722,0,11/12/2022 15:36:56,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,18,4,3,fixation,fixation,timelimit_screen,500.0099999999984,,,,,0,1,0,,,1,,1,practise trials,coherence-90-rr.mp4,right,,1
13,1670773014250,11/12/2022 15:36:54,1670773017513,0,11/12/2022 15:36:57,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,8,5,1,Screen 2,responseA,response_keyboard,761.144999996759,,,up,1,1,0,0,,,,,1,practise trials,coherence-50-uu.mp4,up,,1
14,1670773014928,11/12/2022 15:36:54,1670773018206,0,11/12/2022 15:36:58,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,8,5,3,fixation,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,,1,practise trials,coherence-50-uu.mp4,up,,1
15,1670773015603,11/12/2022 15:36:55,1670773018874,0,11/12/2022 15:36:58,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,6,6,1,Screen 2,responseA,response_keyboard,636.2399999998161,,,up,1,0,1,0,,,,,1,practise trials,coherence-90-dd.mp4,down,,1
16,1670773016422,11/12/2022 15:36:56,1670773019556,0,11/12/2022 15:36:59,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,6,6,3,fixation,fixation,timelimit_screen,500.0099999999984,,,,,0,1,0,,,1,,1,practise trials,coherence-90-dd.mp4,down,,1
17,1670773017157,11/12/2022 15:36:57,1670773020415,0,11/12/2022 15:37:00,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,12,7,1,Screen 2,responseB,response_keyboard,824.415000002773,,,left,1,1,0,0,,,,,1,practise trials,coherence-50-ll.mp4,left,,1
18,1670773017839,11/12/2022 15:36:57,1670773021106,0,11/12/2022 15:37:01,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,12,7,3,fixation,fixation,timelimit_screen,500.0099999999984,,,,,0,1,0,,,1,,1,practise trials,coherence-50-ll.mp4,left,,1
19,1670773018573,11/12/2022 15:36:58,1670773021841,0,11/12/2022 15:37:01,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,14,8,1,Screen 2,responseB,response_keyboard,703.8499999980559,,,left,1,1,0,0,,,,,1,practise trials,coherence-90-ll.mp4,left,,1
20,1670773019244,11/12/2022 15:36:59,1670773022523,0,11/12/2022 15:37:02,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,14,8,3,fixation,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,,1,practise trials,coherence-90-ll.mp4,left,,1
21,1670773019943,11/12/2022 15:36:59,1670773023214,0,11/12/2022 15:37:03,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,16,9,1,Screen 2,responseB,response_keyboard,656.4899999939371,,,right,1,1,0,0,,,,,1,practise trials,coherence-50-rr.mp4,right,,1
22,1670773020637,11/12/2022 15:37:00,1670773023906,0,11/12/2022 15:37:03,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,16,9,3,fixation,fixation,timelimit_screen,500.0099999999984,,,,,0,1,0,,,1,,1,practise trials,coherence-50-rr.mp4,right,,1
23,1670773022853,11/12/2022 15:37:02,1670773026099,0,11/12/2022 15:37:06,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,9,10,1,Screen 2,responseA,response_keyboard,2161.4300000001094,,,up,1,1,0,0,,,,,1,practise trials,coherence-30-uu.mp4,up,,1
24,1670773023523,11/12/2022 15:37:03,1670773026791,0,11/12/2022 15:37:06,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,9,10,3,fixation,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,,1,practise trials,coherence-30-uu.mp4,up,,1
25,1670773024594,11/12/2022 15:37:04,1670773027874,0,11/12/2022 15:37:07,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,5,11,1,Screen 2,responseA,response_keyboard,1056.1750000051688,,,down,1,1,0,0,,,,,1,practise trials,coherence-30-dd.mp4,down,,1
26,1670773025289,11/12/2022 15:37:05,1670773028557,0,11/12/2022 15:37:08,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,5,11,3,fixation,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,,1,practise trials,coherence-30-dd.mp4,down,,1
27,1670773026141,11/12/2022 15:37:06,1670773029427,0,11/12/2022 15:37:09,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,10,12,1,Screen 2,responseA,response_keyboard,839.8949999973411,,,up,1,1,0,0,,,,,1,practise trials,coherence-90-uu.mp4,up,,1
28,1670773026823,11/12/2022 15:37:06,1670773030107,0,11/12/2022 15:37:10,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,10,12,3,fixation,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,,1,practise trials,coherence-90-uu.mp4,up,,1
29,1670773027539,11/12/2022 15:37:07,1670773030811,0,11/12/2022 15:37:10,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,4,13,1,Screen 2,responseA,response_keyboard,673.094999998284,,,down,1,1,0,0,,,,,1,practise trials,coherence-50-dd.mp4,down,,1
30,1670773028205,11/12/2022 15:37:08,1670773031491,0,11/12/2022 15:37:11,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,4,13,3,fixation,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,,1,practise trials,coherence-50-dd.mp4,down,,1
31,1670773029089,11/12/2022 15:37:09,1670773032355,0,11/12/2022 15:37:12,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,13,14,1,Screen 2,responseB,response_keyboard,834.6799999999348,,,left,1,1,0,0,,,,,1,practise trials,coherence-30-ll.mp4,left,,1
32,1670773029758,11/12/2022 15:37:09,1670773033042,0,11/12/2022 15:37:13,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,13,14,3,fixation,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,,1,practise trials,coherence-30-ll.mp4,left,,1
33,1670773030519,11/12/2022 15:37:10,1670773033802,0,11/12/2022 15:37:13,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,7,15,1,Screen 2,responseA,response_keyboard,721.7299999974784,,,up,1,1,0,0,,,,,1,practise trials,coherence-70-uu.mp4,up,,1
34,1670773031223,11/12/2022 15:37:11,1670773034490,0,11/12/2022 15:37:14,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,7,15,3,fixation,fixation,timelimit_screen,500.00999999999476,,,,,0,1,0,,,1,,1,practise trials,coherence-70-uu.mp4,up,,1
35,1670773031982,11/12/2022 15:37:11,1670773035268,0,11/12/2022 15:37:15,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,3,16,1,Screen 2,responseA,response_keyboard,731.9549999956507,,,down,1,1,0,0,,,,,1,practise trials,coherence-70-dd.mp4,down,,1
36,1670773032689,11/12/2022 15:37:12,1670773035959,0,11/12/2022 15:37:15,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,3,16,3,fixation,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,,1,practise trials,coherence-70-dd.mp4,down,,1
37,1670773034476,11/12/2022 15:37:14,1670773037740,0,11/12/2022 15:37:17,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,19,1,1,Screen 1,advancementZone,continue_keyboard,1755.6449999974575,,,,,0,1,0,,,,,,ready,,,,
38,1670773034940,11/12/2022 15:37:14,1670773038226,0,11/12/2022 15:37:18,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,19,1,2,Screen 2,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,,,ready,,,,
39,1670773038644,11/12/2022 15:37:18,1670773041907,0,11/12/2022 15:37:21,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,69,1,1,trial,responseA,response_keyboard,3656.279999995604,,,up,1,0,1,0,,,,4,5,trials,coherence-20-dd.mp4,down,1,
40,1670773039125,11/12/2022 15:37:19,1670773042392,0,11/12/2022 15:37:22,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,69,1,3,fixation,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,4,5,trials,coherence-20-dd.mp4,down,1,
41,1670773039950,11/12/2022 15:37:19,1670773043216,0,11/12/2022 15:37:23,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,71,2,1,trial,responseA,response_keyboard,800.5499999999302,,,down,1,1,0,0,,,,4,5,trials,coherence-80-dd.mp4,down,1,
42,1670773040448,11/12/2022 15:37:20,1670773043710,0,11/12/2022 15:37:23,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,71,2,3,fixation,fixation,timelimit_screen,500.01000000000204,,,,,0,1,0,,,1,4,5,trials,coherence-80-dd.mp4,down,1,
43,1670773041111,11/12/2022 15:37:21,1670773044376,0,11/12/2022 15:37:24,96489,6,task-sks3,,25860412,5f5e33a37fa7566accb4e6ac,7647689,,complete,,6395f8d8d31b204937141c4d,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 87.0.4280.141,1440x900,1440x900,rdk-progress,random-dots-7-progressbar,5,Team RDK,,rdk-progressbar,,consented,,,,,,,,,rdk-progress,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,79,3,1,trial,responseB,response_keyboard,644.5199999943725,,,left,1,1,0,0,,,,4,5,trials,coherence-80-ll.mp4,left,1,
