Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
241,1670774616431,11/12/2022 16:03:36,1670774615401,0,11/12/2022 16:03:35,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,22,108,3,fixation,fixation,timelimit_screen,499.9459999999963,,,,,0,1,0,,,1,1,2,trials,YELLOWblue.jpg,Yellow,,Blue,Yellow,Red,Green
242,1670774616431,11/12/2022 16:03:36,1670774615890,0,11/12/2022 16:03:35,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,20,109,1,trial,responseA,response_keyboard,463.70000000018626,,,Yellow,1,1,0,0,,,,1,2,trials,YELLOWyellow.jpg,Yellow,,Blue,Yellow,Red,Green
243,1670774616431,11/12/2022 16:03:36,1670774616385,0,11/12/2022 16:03:36,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,20,109,3,fixation,fixation,timelimit_screen,499.90600000001723,,,,,0,1,0,,,1,1,2,trials,YELLOWyellow.jpg,Yellow,,Blue,Yellow,Red,Green
244,1670774617347,11/12/2022 16:03:37,1670774617374,0,11/12/2022 16:03:37,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,33,110,1,trial,responseB,response_keyboard,960.8999999999069,,,Red,1,1,0,0,,,,1,2,trials,REDred.jpg,Red,,Blue,Yellow,Red,Green
245,1670774617824,11/12/2022 16:03:37,1670774617865,0,11/12/2022 16:03:37,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,33,110,3,fixation,fixation,timelimit_screen,499.82199999998556,,,,,0,1,0,,,1,1,2,trials,REDred.jpg,Red,,Blue,Yellow,Red,Green
246,1670774618668,11/12/2022 16:03:38,1670774618468,0,11/12/2022 16:03:38,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,26,111,1,trial,responseA,response_keyboard,587,,,Yellow,1,1,0,0,,,,1,2,trials,YELLOWred.jpg,Yellow,,Blue,Yellow,Red,Green
247,1670774618931,11/12/2022 16:03:38,1670774618964,0,11/12/2022 16:03:38,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,26,111,3,fixation,fixation,timelimit_screen,499.7170000000042,,,,,0,1,0,,,1,1,2,trials,YELLOWred.jpg,Yellow,,Blue,Yellow,Red,Green
248,1670774620799,11/12/2022 16:03:40,1670774620833,0,11/12/2022 16:03:40,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,30,112,1,trial,responseB,response_keyboard,1853.1999999997206,,,Green,1,1,0,0,,,,1,2,trials,GREENgreen.jpg,Green,,Blue,Yellow,Red,Green
249,1670774638124,11/12/2022 16:03:58,1670774621316,0,11/12/2022 16:03:41,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,30,112,3,fixation,fixation,timelimit_screen,499.9109999999637,,,,,0,1,0,,,1,1,2,trials,GREENgreen.jpg,Green,,Blue,Yellow,Red,Green
250,1670774638124,11/12/2022 16:03:58,1670774622585,0,11/12/2022 16:03:42,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,84,113,1,trial,responseA,response_keyboard,1245.5,,,Yellow,1,1,0,0,,,,5,6,trials,YELLOWyellow.jpg,Yellow,,Blue,Yellow,Red,Green
