Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ShowProgressBar,ShowProgressBar1,ANSWER,Left,Right,Up,Down
297,1670773020151,11/12/2022 15:37:00,1670773021155,0,11/12/2022 15:37:01,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,56,137,3,fixation,fixation,timelimit_screen,500.46000000002095,,,,,0,1,0,,,1,3,4,trials,GREENyellow.jpg,Green,1,,,Green,Red,Yellow,Blue
298,1670773020936,11/12/2022 15:37:00,1670773021945,0,11/12/2022 15:37:01,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,52,138,1,trial,responseB,response_keyboard,781.3999999999069,,,Yellow,1,1,0,0,,,,3,4,trials,YELLOWyellow.jpg,Yellow,1,,,Green,Red,Yellow,Blue
299,1670773021439,11/12/2022 15:37:01,1670773022441,0,11/12/2022 15:37:02,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,52,138,3,fixation,fixation,timelimit_screen,500.3429999999935,,,,,0,1,0,,,1,3,4,trials,YELLOWyellow.jpg,Yellow,1,,,Green,Red,Yellow,Blue
300,1670773022251,11/12/2022 15:37:02,1670773023205,0,11/12/2022 15:37:03,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,55,139,1,trial,responseB,response_keyboard,755.5,,,Blue,1,1,0,0,,,,3,4,trials,BLUEyellow.jpg,Blue,1,,,Green,Red,Yellow,Blue
301,1670773022681,11/12/2022 15:37:02,1670773023700,0,11/12/2022 15:37:03,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,55,139,3,fixation,fixation,timelimit_screen,500.5130000000063,,,,,0,1,0,,,1,3,4,trials,BLUEyellow.jpg,Blue,1,,,Green,Red,Yellow,Blue
302,1670773023318,11/12/2022 15:37:03,1670773024321,0,11/12/2022 15:37:04,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,65,140,1,trial,responseA,response_keyboard,612.8000000002794,,,Red,1,1,0,0,,,,3,4,trials,REDred.jpg,Red,1,,,Green,Red,Yellow,Blue
303,1670773023800,11/12/2022 15:37:03,1670773024819,0,11/12/2022 15:37:04,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,65,140,3,fixation,fixation,timelimit_screen,500.4890000000014,,,,,0,1,0,,,1,3,4,trials,REDred.jpg,Red,1,,,Green,Red,Yellow,Blue
304,1670773024420,11/12/2022 15:37:04,1670773025426,0,11/12/2022 15:37:05,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,62,141,1,trial,responseA,response_keyboard,598.8000000002794,,,Green,1,1,0,0,,,,3,4,trials,GREENgreen.jpg,Green,1,,,Green,Red,Yellow,Blue
305,1670773024919,11/12/2022 15:37:04,1670773025924,0,11/12/2022 15:37:05,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,62,141,3,fixation,fixation,timelimit_screen,500.4059999999881,,,,,0,1,0,,,1,3,4,trials,GREENgreen.jpg,Green,1,,,Green,Red,Yellow,Blue
306,1670773025581,11/12/2022 15:37:05,1670773026600,0,11/12/2022 15:37:06,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,66,142,1,trial,responseA,response_keyboard,667.8000000002794,,,Red,1,1,0,0,,,,3,4,trials,REDgreen.jpg,Red,1,,,Green,Red,Yellow,Blue
307,1670773026091,11/12/2022 15:37:06,1670773027099,0,11/12/2022 15:37:07,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,66,142,3,fixation,fixation,timelimit_screen,500.5249999999942,,,,,0,1,0,,,1,3,4,trials,REDgreen.jpg,Red,1,,,Green,Red,Yellow,Blue
308,1670773026645,11/12/2022 15:37:06,1670773027669,0,11/12/2022 15:37:07,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,61,143,1,trial,responseA,response_keyboard,560,,,Green,1,1,0,0,,,,3,4,trials,GREENred.jpg,Green,1,,,Green,Red,Yellow,Blue
309,1670773027145,11/12/2022 15:37:07,1670773028162,0,11/12/2022 15:37:08,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,61,143,3,fixation,fixation,timelimit_screen,500.51500000001397,,,,,0,1,0,,,1,3,4,trials,GREENred.jpg,Green,1,,,Green,Red,Yellow,Blue
310,1670773027879,11/12/2022 15:37:07,1670773028898,0,11/12/2022 15:37:08,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,59,144,1,trial,responseA,response_keyboard,727.1000000000931,,,Red,1,1,0,0,,,,3,4,trials,REDblue.jpg,Red,1,,,Green,Red,Yellow,Blue
311,1670773028388,11/12/2022 15:37:08,1670773029393,0,11/12/2022 15:37:09,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,59,144,3,fixation,fixation,timelimit_screen,500.4979999999923,,,,,0,1,0,,,1,3,4,trials,REDblue.jpg,Red,1,,,Green,Red,Yellow,Blue
312,1670773028811,11/12/2022 15:37:08,1670773029836,0,11/12/2022 15:37:09,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,185,145,1,trial,responseA,response_keyboard,434.89999999990687,,,Red,1,1,0,0,,,,11,12,trials,REDyellow.jpg,Red,1,,,Green,Red,Yellow,Blue
313,1670773029334,11/12/2022 15:37:09,1670773030331,0,11/12/2022 15:37:10,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,185,145,3,fixation,fixation,timelimit_screen,500.50499999997555,,,,,0,1,0,,,1,11,12,trials,REDyellow.jpg,Red,1,,,Green,Red,Yellow,Blue
314,1670773029675,11/12/2022 15:37:09,1670773030689,0,11/12/2022 15:37:10,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,193,146,1,trial,responseA,response_keyboard,349.79999999981374,,,Red,1,1,0,0,,,,11,12,trials,REDred.jpg,Red,1,,,Green,Red,Yellow,Blue
315,1670773030184,11/12/2022 15:37:10,1670773031186,0,11/12/2022 15:37:11,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,193,146,3,fixation,fixation,timelimit_screen,500.497000000003,,,,,0,1,0,,,1,11,12,trials,REDred.jpg,Red,1,,,Green,Red,Yellow,Blue
316,1670773030892,11/12/2022 15:37:10,1670773031914,0,11/12/2022 15:37:11,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,180,147,1,trial,responseB,response_keyboard,719.5999999996275,,,Yellow,1,1,0,0,,,,11,12,trials,YELLOWyellow.jpg,Yellow,1,,,Green,Red,Yellow,Blue
317,1670773031391,11/12/2022 15:37:11,1670773032410,0,11/12/2022 15:37:12,96489,6,task-lupf,,25860320,5ee15a640c2ad1180fd1df83,7647669,,complete,,6395f81a15e458a1e7f46601,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,str-progress,stroop-7-progressbar,3,Team Stroop,stroop-progressbar,,,consented,,str-progress,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,180,147,3,fixation,fixation,timelimit_screen,500.6589999999851,,,,,0,1,0,,,1,11,12,trials,YELLOWyellow.jpg,Yellow,1,,,Green,Red,Yellow,Blue
