Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
261,1670849460893,12/12/2022 12:51:00,1670849458309,0,12/12/2022 12:50:58,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,45,80,2,correct_screen,Zone2,timelimit_screen,16.76699999999255,,,,,0,1,0,,,1,2,3,trials,GREENred.jpg,Green,,Yellow,Blue,Green,Red
262,1670849461333,12/12/2022 12:51:01,1670849458790,0,12/12/2022 12:50:58,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,45,80,7,fixation,fixation,timelimit_screen,499.9739999999874,,,,,0,1,0,,,1,2,3,trials,GREENred.jpg,Green,,Yellow,Blue,Green,Red
263,1670849462289,12/12/2022 12:51:02,1670849459748,0,12/12/2022 12:50:59,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,163,81,1,trial,responseA,response_keyboard,905,,,Blue,1,1,0,0,,,,9,10,trials,BLUEblue.jpg,Blue,,Yellow,Blue,Green,Red
264,1670849462375,12/12/2022 12:51:02,1670849459774,0,12/12/2022 12:50:59,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,163,81,2,correct_screen,Zone2,timelimit_screen,16.488000000012107,,,,,0,1,0,,,1,9,10,trials,BLUEblue.jpg,Blue,,Yellow,Blue,Green,Red
265,1670849462792,12/12/2022 12:51:02,1670849460256,0,12/12/2022 12:51:00,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,163,81,7,fixation,fixation,timelimit_screen,499.94899999996414,,,,,0,1,0,,,1,9,10,trials,BLUEblue.jpg,Blue,,Yellow,Blue,Green,Red
266,1670849463669,12/12/2022 12:51:03,1670849461118,0,12/12/2022 12:51:01,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,160,82,1,trial,responseA,response_keyboard,806.4000000059605,,,Blue,1,1,0,0,,,,9,10,trials,BLUEgreen.jpg,Blue,,Yellow,Blue,Green,Red
267,1670849463746,12/12/2022 12:51:03,1670849461143,0,12/12/2022 12:51:01,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,160,82,2,correct_screen,Zone2,timelimit_screen,16.53000000002794,,,,,0,1,0,,,1,9,10,trials,BLUEgreen.jpg,Blue,,Yellow,Blue,Green,Red
268,1670849464173,12/12/2022 12:51:04,1670849461623,0,12/12/2022 12:51:01,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,160,82,7,fixation,fixation,timelimit_screen,500.0929999999935,,,,,0,1,0,,,1,9,10,trials,BLUEgreen.jpg,Blue,,Yellow,Blue,Green,Red
269,1670849465403,12/12/2022 12:51:05,1670849462860,0,12/12/2022 12:51:02,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,158,83,1,trial,responseB,response_keyboard,1179.0999999940395,,,Green,1,1,0,0,,,,9,10,trials,GREENgreen.jpg,Green,,Yellow,Blue,Green,Red
270,1670849465478,12/12/2022 12:51:05,1670849462884,0,12/12/2022 12:51:02,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,158,83,2,correct_screen,Zone2,timelimit_screen,16.550000000046566,,,,,0,1,0,,,1,9,10,trials,GREENgreen.jpg,Green,,Yellow,Blue,Green,Red
