Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer
103,1670774177936,11/12/2022 15:56:17,1670774183358,0,11/12/2022 15:56:23,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,197,28,3,fixation,fixation,timelimit_screen,500.9279999999999,,,,,0,1,0,,,1,12,13,trials,coherence-20-dd.mp4,down
104,1670774178896,11/12/2022 15:56:18,1670774184324,0,11/12/2022 15:56:24,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,206,29,1,trial,responseA,response_keyboard,915.6999998092651,,,up,1,0,1,0,,,,12,13,trials,coherence-40-ll.mp4,left
105,1670774179390,11/12/2022 15:56:19,1670774184818,0,11/12/2022 15:56:24,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,206,29,3,fixation,fixation,timelimit_screen,500.8729999999996,,,,,0,1,0,,,1,12,13,trials,coherence-40-ll.mp4,left
106,1670774180729,11/12/2022 15:56:20,1670774186060,0,11/12/2022 15:56:26,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,199,30,1,trial,responseA,response_keyboard,1189.3000001907349,,,down,1,1,0,0,,,,12,13,trials,coherence-80-dd.mp4,down
107,1670774181130,11/12/2022 15:56:21,1670774186560,0,11/12/2022 15:56:26,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,199,30,3,fixation,fixation,timelimit_screen,500.7960000000021,,,,,0,1,0,,,1,12,13,trials,coherence-80-dd.mp4,down
108,1670774182467,11/12/2022 15:56:22,1670774187906,0,11/12/2022 15:56:27,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,198,31,1,trial,responseA,response_keyboard,1288.0999999046326,,,down,1,1,0,0,,,,12,13,trials,coherence-40-dd.mp4,down
109,1670774182953,11/12/2022 15:56:22,1670774188388,0,11/12/2022 15:56:28,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,198,31,3,fixation,fixation,timelimit_screen,500.87599999999657,,,,,0,1,0,,,1,12,13,trials,coherence-40-dd.mp4,down
110,1670774184864,11/12/2022 15:56:24,1670774190310,0,11/12/2022 15:56:30,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,205,32,1,trial,responseB,response_keyboard,1865.4000000953674,,,left,1,1,0,0,,,,12,13,trials,coherence-20-ll.mp4,left
111,1670774185441,11/12/2022 15:56:25,1670774190800,0,11/12/2022 15:56:30,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,205,32,3,fixation,fixation,timelimit_screen,500.87100000000646,,,,,0,1,0,,,1,12,13,trials,coherence-20-ll.mp4,left
112,1670774187435,11/12/2022 15:56:27,1670774192893,0,11/12/2022 15:56:32,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,140,33,1,trial,responseA,response_keyboard,2044.0999999046326,,,up,1,0,1,0,,,,8,9,trials,coherence-10-ll.mp4,left
