Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
31,1670773922119,11/12/2022 15:52:02,1670773921815,0,11/12/2022 15:52:01,96489,6,task-najf,,25860767,5f818ae3780d3e22f3c0cc44,7647731,,complete,,6395fa9c684ae2d667d33a20,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,190,4,3,fixation,fixation,timelimit_screen,499.9800000000105,,,,,0,1,0,,,1,11,12,trials,GREENgreen.jpg,Green,,Green,Yellow,Red,Blue
32,1670773924290,11/12/2022 15:52:04,1670773923990,0,11/12/2022 15:52:03,96489,6,task-najf,,25860767,5f818ae3780d3e22f3c0cc44,7647731,,complete,,6395fa9c684ae2d667d33a20,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,182,5,1,trial,responseA,response_keyboard,2162.899999976158,,,Yellow,1,1,0,0,,,,11,12,trials,YELLOWblue.jpg,Yellow,,Green,Yellow,Red,Blue
33,1670773924761,11/12/2022 15:52:04,1670773924482,0,11/12/2022 15:52:04,96489,6,task-najf,,25860767,5f818ae3780d3e22f3c0cc44,7647731,,complete,,6395fa9c684ae2d667d33a20,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,182,5,3,fixation,fixation,timelimit_screen,499.9800000000105,,,,,0,1,0,,,1,11,12,trials,YELLOWblue.jpg,Yellow,,Green,Yellow,Red,Blue
34,1670773926090,11/12/2022 15:52:06,1670773925723,0,11/12/2022 15:52:05,96489,6,task-najf,,25860767,5f818ae3780d3e22f3c0cc44,7647731,,complete,,6395fa9c684ae2d667d33a20,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,188,6,1,trial,responseA,response_keyboard,1229,,,Green,1,1,0,0,,,,11,12,trials,GREENblue.jpg,Green,,Green,Yellow,Red,Blue
35,1670773926493,11/12/2022 15:52:06,1670773926214,0,11/12/2022 15:52:06,96489,6,task-najf,,25860767,5f818ae3780d3e22f3c0cc44,7647731,,complete,,6395fa9c684ae2d667d33a20,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,188,6,3,fixation,fixation,timelimit_screen,499.9800000000105,,,,,0,1,0,,,1,11,12,trials,GREENblue.jpg,Green,,Green,Yellow,Red,Blue
36,1670773927732,11/12/2022 15:52:07,1670773927450,0,11/12/2022 15:52:07,96489,6,task-najf,,25860767,5f818ae3780d3e22f3c0cc44,7647731,,complete,,6395fa9c684ae2d667d33a20,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,192,7,1,trial,responseB,response_keyboard,1223.5999999940395,,,Red,1,0,1,0,,,,11,12,trials,BLUEgreen.jpg,Blue,,Green,Yellow,Red,Blue
37,1670773928250,11/12/2022 15:52:08,1670773927948,0,11/12/2022 15:52:07,96489,6,task-najf,,25860767,5f818ae3780d3e22f3c0cc44,7647731,,complete,,6395fa9c684ae2d667d33a20,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,192,7,3,fixation,fixation,timelimit_screen,499.9800000000105,,,,,0,1,0,,,1,11,12,trials,BLUEgreen.jpg,Blue,,Green,Yellow,Red,Blue
38,1670773929204,11/12/2022 15:52:09,1670773928898,0,11/12/2022 15:52:08,96489,6,task-najf,,25860767,5f818ae3780d3e22f3c0cc44,7647731,,complete,,6395fa9c684ae2d667d33a20,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,181,8,1,trial,responseA,response_keyboard,937.5,,,Yellow,1,1,0,0,,,,11,12,trials,YELLOWgreen.jpg,Yellow,,Green,Yellow,Red,Blue
39,1670773929700,11/12/2022 15:52:09,1670773929381,0,11/12/2022 15:52:09,96489,6,task-najf,,25860767,5f818ae3780d3e22f3c0cc44,7647731,,complete,,6395fa9c684ae2d667d33a20,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,181,8,3,fixation,fixation,timelimit_screen,499.9800000000105,,,,,0,1,0,,,1,11,12,trials,YELLOWgreen.jpg,Yellow,,Green,Yellow,Red,Blue
40,1670773930849,11/12/2022 15:52:10,1670773930562,0,11/12/2022 15:52:10,96489,6,task-najf,,25860767,5f818ae3780d3e22f3c0cc44,7647731,,complete,,6395fa9c684ae2d667d33a20,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,187,9,1,trial,responseB,response_keyboard,1167.9000000059605,,,Red,1,1,0,0,,,,11,12,trials,REDblue.jpg,Red,,Green,Yellow,Red,Blue
41,1670773931367,11/12/2022 15:52:11,1670773931049,0,11/12/2022 15:52:11,96489,6,task-najf,,25860767,5f818ae3780d3e22f3c0cc44,7647731,,complete,,6395fa9c684ae2d667d33a20,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,187,9,3,fixation,fixation,timelimit_screen,499.9800000000105,,,,,0,1,0,,,1,11,12,trials,REDblue.jpg,Red,,Green,Yellow,Red,Blue
42,1670773932769,11/12/2022 15:52:12,1670773932447,0,11/12/2022 15:52:12,96489,6,task-najf,,25860767,5f818ae3780d3e22f3c0cc44,7647731,,complete,,6395fa9c684ae2d667d33a20,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x900,str-video,stroop-4-video,3,Team Stroop,stroop-video,,,consented,,,,str-video,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,189,10,1,trial,responseA,response_keyboard,1385.5,,,Green,1,1,0,0,,,,11,12,trials,GREENred.jpg,Green,,Green,Yellow,Red,Blue
