Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
235,1670773431287,11/12/2022 15:43:51,1670773425230,0,11/12/2022 15:43:45,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,93,106,3,fixation,fixation,timelimit_screen,499.6699999999837,,,,,0,1,0,,,1,5,6,trials,GREENred.jpg,Green,,Red,Yellow,Green,Blue
236,1670773433711,11/12/2022 15:43:53,1670773427563,0,11/12/2022 15:43:47,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,99,107,1,trial,responseB,response_keyboard,2306.8000000715256,,,Blue,1,1,0,0,,,,5,6,trials,BLUEblue.jpg,Blue,,Red,Yellow,Green,Blue
237,1670773434108,11/12/2022 15:43:54,1670773428048,0,11/12/2022 15:43:48,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,99,107,3,fixation,fixation,timelimit_screen,499.9980000000214,,,,,0,1,0,,,1,5,6,trials,BLUEblue.jpg,Blue,,Red,Yellow,Green,Blue
238,1670773436432,11/12/2022 15:43:56,1670773430364,0,11/12/2022 15:43:50,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,89,108,1,trial,responseA,response_keyboard,2290.100000023842,,,Red,1,1,0,0,,,,5,6,trials,REDyellow.jpg,Red,,Red,Yellow,Green,Blue
239,1670773436913,11/12/2022 15:43:56,1670773430848,0,11/12/2022 15:43:50,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,89,108,3,fixation,fixation,timelimit_screen,499.48399999999674,,,,,0,1,0,,,1,5,6,trials,REDyellow.jpg,Red,,Red,Yellow,Green,Blue
240,1670773438936,11/12/2022 15:43:58,1670773432859,0,11/12/2022 15:43:52,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,87,109,1,trial,responseB,response_keyboard,1951.3999999761581,,,Blue,1,1,0,0,,,,5,6,trials,BLUEyellow.jpg,Blue,,Red,Yellow,Green,Blue
241,1670773439392,11/12/2022 15:43:59,1670773433348,0,11/12/2022 15:43:53,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,87,109,3,fixation,fixation,timelimit_screen,500.3170000000391,,,,,0,1,0,,,1,5,6,trials,BLUEyellow.jpg,Blue,,Red,Yellow,Green,Blue
242,1670773441897,11/12/2022 15:44:01,1670773435846,0,11/12/2022 15:43:55,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,84,110,1,trial,responseA,response_keyboard,2472.5,,,Yellow,1,1,0,0,,,,5,6,trials,YELLOWyellow.jpg,Yellow,,Red,Yellow,Green,Blue
243,1670773442392,11/12/2022 15:44:02,1670773436331,0,11/12/2022 15:43:56,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,84,110,3,fixation,fixation,timelimit_screen,499.48099999997066,,,,,0,1,0,,,1,5,6,trials,YELLOWyellow.jpg,Yellow,,Red,Yellow,Green,Blue
244,1670773444549,11/12/2022 15:44:04,1670773438500,0,11/12/2022 15:43:58,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,95,111,1,trial,responseB,response_keyboard,2144.2000000476837,,,Blue,1,1,0,0,,,,5,6,trials,BLUEred.jpg,Blue,,Red,Yellow,Green,Blue
245,1670773445106,11/12/2022 15:44:05,1670773438988,0,11/12/2022 15:43:58,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,95,111,3,fixation,fixation,timelimit_screen,499.51600000000326,,,,,0,1,0,,,1,5,6,trials,BLUEred.jpg,Blue,,Red,Yellow,Green,Blue
246,1670773446589,11/12/2022 15:44:06,1670773440536,0,11/12/2022 15:44:00,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,85,112,1,trial,responseA,response_keyboard,1521.1000000238419,,,Yellow,1,1,0,0,,,,5,6,trials,YELLOWgreen.jpg,Yellow,,Red,Yellow,Green,Blue
247,1670773447090,11/12/2022 15:44:07,1670773441032,0,11/12/2022 15:44:01,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,85,112,3,fixation,fixation,timelimit_screen,500.0129999999772,,,,,0,1,0,,,1,5,6,trials,YELLOWgreen.jpg,Yellow,,Red,Yellow,Green,Blue
248,1670773450518,11/12/2022 15:44:10,1670773444473,0,11/12/2022 15:44:04,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,191,113,1,trial,responseB,response_keyboard,3416.600000023842,,,Blue,1,1,0,0,,,,11,12,trials,BLUEred.jpg,Blue,,Red,Yellow,Green,Blue
249,1670773451000,11/12/2022 15:44:11,1670773444948,0,11/12/2022 15:44:04,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,191,113,3,fixation,fixation,timelimit_screen,499.5100000000093,,,,,0,1,0,,,1,11,12,trials,BLUEred.jpg,Blue,,Red,Yellow,Green,Blue
250,1670773454789,11/12/2022 15:44:14,1670773448628,0,11/12/2022 15:44:08,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,188,114,1,trial,responseB,response_keyboard,3655.2999999523163,,,Green,1,1,0,0,,,,11,12,trials,GREENblue.jpg,Green,,Red,Yellow,Green,Blue
251,1670773455201,11/12/2022 15:44:15,1670773449115,0,11/12/2022 15:44:09,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,188,114,3,fixation,fixation,timelimit_screen,499.92800000001444,,,,,0,1,0,,,1,11,12,trials,GREENblue.jpg,Green,,Red,Yellow,Green,Blue
