Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
86,1670773770491,11/12/2022 15:49:30,1670773770473,0,11/12/2022 15:49:30,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,205,32,1,trial,responseB,response_keyboard,656,,,Green,1,1,0,0,,,,12,13,trials,GREENred.jpg,Green,,Red,Yellow,Green,Blue
87,1670773770990,11/12/2022 15:49:30,1670773770974,0,11/12/2022 15:49:30,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,205,32,3,fixation,fixation,timelimit_screen,506.46399999999267,,,,,0,1,0,,,1,12,13,trials,GREENred.jpg,Green,,Red,Yellow,Green,Blue
88,1670773771728,11/12/2022 15:49:31,1670773771710,0,11/12/2022 15:49:31,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,87,33,1,trial,responseA,response_keyboard,720.8999999761581,,,Yellow,1,0,1,0,,,,5,6,trials,BLUEyellow.jpg,Blue,,Red,Yellow,Green,Blue
89,1670773772226,11/12/2022 15:49:32,1670773772213,0,11/12/2022 15:49:32,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,87,33,3,fixation,fixation,timelimit_screen,506.46399999999267,,,,,0,1,0,,,1,5,6,trials,BLUEyellow.jpg,Blue,,Red,Yellow,Green,Blue
90,1670773774335,11/12/2022 15:49:34,1670773774302,0,11/12/2022 15:49:34,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,91,34,1,trial,responseA,response_keyboard,2072.899999976158,,,Red,1,1,0,0,,,,5,6,trials,REDblue.jpg,Red,,Red,Yellow,Green,Blue
91,1670773774812,11/12/2022 15:49:34,1670773774799,0,11/12/2022 15:49:34,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,91,34,3,fixation,fixation,timelimit_screen,506.46399999999267,,,,,0,1,0,,,1,5,6,trials,REDblue.jpg,Red,,Red,Yellow,Green,Blue
92,1670773776951,11/12/2022 15:49:36,1670773776929,0,11/12/2022 15:49:36,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,88,35,1,trial,responseB,response_keyboard,2114.399999976158,,,Green,1,1,0,0,,,,5,6,trials,GREENyellow.jpg,Green,,Red,Yellow,Green,Blue
93,1670773777433,11/12/2022 15:49:37,1670773777425,0,11/12/2022 15:49:37,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,88,35,3,fixation,fixation,timelimit_screen,506.4640000000072,,,,,0,1,0,,,1,5,6,trials,GREENyellow.jpg,Green,,Red,Yellow,Green,Blue
94,1670773779232,11/12/2022 15:49:39,1670773779220,0,11/12/2022 15:49:39,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,92,36,1,trial,responseB,response_keyboard,1779.1000000238419,,,Green,1,1,0,0,,,,5,6,trials,GREENblue.jpg,Green,,Red,Yellow,Green,Blue
95,1670773779736,11/12/2022 15:49:39,1670773779717,0,11/12/2022 15:49:39,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,92,36,3,fixation,fixation,timelimit_screen,506.4640000000072,,,,,0,1,0,,,1,5,6,trials,GREENblue.jpg,Green,,Red,Yellow,Green,Blue
96,1670773780342,11/12/2022 15:49:40,1670773780317,0,11/12/2022 15:49:40,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,96,37,1,trial,responseB,response_keyboard,584.1000000238419,,,Blue,1,1,0,0,,,,5,6,trials,BLUEgreen.jpg,Blue,,Red,Yellow,Green,Blue
97,1670773780836,11/12/2022 15:49:40,1670773780824,0,11/12/2022 15:49:40,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,96,37,3,fixation,fixation,timelimit_screen,506.4639999999781,,,,,0,1,0,,,1,5,6,trials,BLUEgreen.jpg,Blue,,Red,Yellow,Green,Blue
98,1670773782862,11/12/2022 15:49:42,1670773782858,0,11/12/2022 15:49:42,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,90,38,1,trial,responseA,response_keyboard,2018,,,Yellow,1,1,0,0,,,,5,6,trials,YELLOWred.jpg,Yellow,,Red,Yellow,Green,Blue
