Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
288,1670773687177,11/12/2022 15:48:07,1670773687434,0,11/12/2022 15:48:07,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,113,133,1,trial,responseB,response_keyboard,579.8999999761581,,,Red,1,1,0,0,,,,6,7,trials,REDred.jpg,Red,,Yellow,Green,Blue,Red
289,1670773687669,11/12/2022 15:48:07,1670773687928,0,11/12/2022 15:48:07,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,113,133,3,fixation,fixation,timelimit_screen,500.0200000000186,,,,,0,1,0,,,1,6,7,trials,REDred.jpg,Red,,Yellow,Green,Blue,Red
290,1670773688586,11/12/2022 15:48:08,1670773688846,0,11/12/2022 15:48:08,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,104,134,1,trial,responseA,response_keyboard,899.2000000476837,,,Green,1,1,0,0,,,,6,7,trials,GREENyellow.jpg,Green,,Yellow,Green,Blue,Red
291,1670773689093,11/12/2022 15:48:09,1670773689345,0,11/12/2022 15:48:09,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,104,134,3,fixation,fixation,timelimit_screen,500.00400000001537,,,,,0,1,0,,,1,6,7,trials,GREENyellow.jpg,Green,,Yellow,Green,Blue,Red
292,1670773689956,11/12/2022 15:48:09,1670773690216,0,11/12/2022 15:48:10,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,103,135,1,trial,responseB,response_keyboard,854.0999999642372,,,Blue,1,1,0,0,,,,6,7,trials,BLUEyellow.jpg,Blue,,Yellow,Green,Blue,Red
293,1670773690456,11/12/2022 15:48:10,1670773690711,0,11/12/2022 15:48:10,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,103,135,3,fixation,fixation,timelimit_screen,500.09599999996135,,,,,0,1,0,,,1,6,7,trials,BLUEyellow.jpg,Blue,,Yellow,Green,Blue,Red
294,1670773691516,11/12/2022 15:48:11,1670773691766,0,11/12/2022 15:48:11,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,110,136,1,trial,responseA,response_keyboard,1041.300000011921,,,Green,1,1,0,0,,,,6,7,trials,GREENgreen.jpg,Green,,Yellow,Green,Blue,Red
295,1670773692005,11/12/2022 15:48:12,1670773692261,0,11/12/2022 15:48:12,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,110,136,3,fixation,fixation,timelimit_screen,500.01500000001397,,,,,0,1,0,,,1,6,7,trials,GREENgreen.jpg,Green,,Yellow,Green,Blue,Red
296,1670773692725,11/12/2022 15:48:12,1670773692978,0,11/12/2022 15:48:12,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,102,137,1,trial,responseA,response_keyboard,705.3999999761581,,,Yellow,1,1,0,0,,,,6,7,trials,YELLOWblue.jpg,Yellow,,Yellow,Green,Blue,Red
297,1670773693214,11/12/2022 15:48:13,1670773693462,0,11/12/2022 15:48:13,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,102,137,3,fixation,fixation,timelimit_screen,499.91399999998976,,,,,0,1,0,,,1,6,7,trials,YELLOWblue.jpg,Yellow,,Yellow,Green,Blue,Red
